code,modifier,canonical_key,work_rvu,status_indicator,global_indicator,description,source_file,source_year
0001F,,0001F|,0.00,I,XXX,Heart failure composite,PPRRVU2026_Apr_nonQPP.csv,2026
0005F,,0005F|,0.00,I,XXX,Osteoarthritis composite,PPRRVU2026_Apr_nonQPP.csv,2026
00100,,00100|,0.00,J,XXX,Anes px salivary gland w/bx,PPRRVU2026_Apr_nonQPP.csv,2026
00102,,00102|,0.00,J,XXX,Anes px plstc rpr cleft lip,PPRRVU2026_Apr_nonQPP.csv,2026
00103,,00103|,0.00,J,XXX,Anes rcnstv px eyelid,PPRRVU2026_Apr_nonQPP.csv,2026
00104,,00104|,0.00,J,XXX,Anes electroconvulsive ther,PPRRVU2026_Apr_nonQPP.csv,2026
00120,,00120|,0.00,J,XXX,Anes px ear w/bx nos,PPRRVU2026_Apr_nonQPP.csv,2026
00124,,00124|,0.00,J,XXX,Anes px ear otoscopy,PPRRVU2026_Apr_nonQPP.csv,2026
00126,,00126|,0.00,J,XXX,Anes px ear tympanotomy,PPRRVU2026_Apr_nonQPP.csv,2026
0012F,,0012F|,0.00,I,XXX,Cap bacterial assess,PPRRVU2026_Apr_nonQPP.csv,2026
00140,,00140|,0.00,J,XXX,Anes procedures on eye nos,PPRRVU2026_Apr_nonQPP.csv,2026
00142,,00142|,0.00,J,XXX,Anes px on eye lens surgery,PPRRVU2026_Apr_nonQPP.csv,2026
00144,,00144|,0.00,J,XXX,Anes px eye corneal trnspl,PPRRVU2026_Apr_nonQPP.csv,2026
00145,,00145|,0.00,J,XXX,Anes px eye vitreortnl surg,PPRRVU2026_Apr_nonQPP.csv,2026
00147,,00147|,0.00,J,XXX,Anes px on eye iridectomy,PPRRVU2026_Apr_nonQPP.csv,2026
00148,,00148|,0.00,J,XXX,Anes px eye ophthalmoscopy,PPRRVU2026_Apr_nonQPP.csv,2026
0014F,,0014F|,0.00,I,XXX,Comp preop assess cat surg,PPRRVU2026_Apr_nonQPP.csv,2026
0015F,,0015F|,0.00,I,XXX,Melan follow-up complete,PPRRVU2026_Apr_nonQPP.csv,2026
00160,,00160|,0.00,J,XXX,Anes px nose&sinus nos,PPRRVU2026_Apr_nonQPP.csv,2026
00162,,00162|,0.00,J,XXX,Anes px nose&sinus rad surg,PPRRVU2026_Apr_nonQPP.csv,2026
00164,,00164|,0.00,J,XXX,Anes px nose&sins bx sft tis,PPRRVU2026_Apr_nonQPP.csv,2026
00170,,00170|,0.00,J,XXX,Anes intraoral px nos,PPRRVU2026_Apr_nonQPP.csv,2026
00172,,00172|,0.00,J,XXX,Anes ntroral px rpr clft pal,PPRRVU2026_Apr_nonQPP.csv,2026
00174,,00174|,0.00,J,XXX,Anes ntrorl exc rtrphrng tum,PPRRVU2026_Apr_nonQPP.csv,2026
00176,,00176|,0.00,J,XXX,Anes intraoral px rad surg,PPRRVU2026_Apr_nonQPP.csv,2026
00190,,00190|,0.00,J,XXX,Anes px facial b1/skull nos,PPRRVU2026_Apr_nonQPP.csv,2026
00192,,00192|,0.00,J,XXX,Anes px fcl b1/skl rad surg,PPRRVU2026_Apr_nonQPP.csv,2026
00210,,00210|,0.00,J,XXX,Anes intracranial px nos,PPRRVU2026_Apr_nonQPP.csv,2026
00211,,00211|,0.00,J,XXX,Anes icr px crnec/crnot hmtm,PPRRVU2026_Apr_nonQPP.csv,2026
00212,,00212|,0.00,J,XXX,Anes icr px subdural taps,PPRRVU2026_Apr_nonQPP.csv,2026
00214,,00214|,0.00,J,XXX,Anes icr px burr holes,PPRRVU2026_Apr_nonQPP.csv,2026
00215,,00215|,0.00,J,XXX,Anes icr px crnop/elvtn fx,PPRRVU2026_Apr_nonQPP.csv,2026
00216,,00216|,0.00,J,XXX,Anes icr px vascular px,PPRRVU2026_Apr_nonQPP.csv,2026
