surface,code,modifier,wrvu,location
index_specs,36556,,1.71,General Surgery[0]
index_specs,36555,,1.88,General Surgery[1]
index_specs,76937,,0.29,General Surgery[2]
index_specs,36561,,5.65,General Surgery[3]
index_specs,36560,,5.89,General Surgery[4]
index_specs,77001,,0.37,General Surgery[5]
index_specs,44970,,9.21,General Surgery[6]
index_specs,47562,,10.21,General Surgery[7]
index_specs,47550,,2.94,General Surgery[8]
index_specs,47563,,11.18,General Surgery[9]
index_specs,49505,,7.76,General Surgery[10]
index_specs,49650,,6.2,General Surgery[11]
index_specs,49500,,5.69,General Surgery[12]
index_specs,49507,,8.86,General Surgery[13]
index_specs,49520,,9.74,General Surgery[14]
index_specs,49521,,11.19,General Surgery[15]
index_specs,49525,,8.71,General Surgery[16]
index_specs,49659,,0.0,General Surgery[17]
index_specs,49010,,15.66,General Surgery[18]
index_specs,49020,,26.0,General Surgery[19]
index_specs,49084,,1.95,General Surgery[20]
index_specs,49324,,6.16,General Surgery[21]
index_specs,49435,,2.19,General Surgery[22]
index_specs,49436,,2.65,General Surgery[23]
index_specs,10061,,2.39,General Surgery[24]
index_specs,10140,,1.54,General Surgery[25]
index_specs,11400,,0.88,General Surgery[26]
index_specs,11401,,1.25,General Surgery[27]
index_specs,11402,,1.41,General Surgery[28]
index_specs,11403,,1.79,General Surgery[29]
index_specs,11406,,3.43,General Surgery[30]
index_specs,11420,,1.0,General Surgery[31]
index_specs,11421,,1.43,General Surgery[32]
index_specs,11422,,1.64,General Surgery[33]
index_specs,11424,,2.42,General Surgery[34]
index_specs,49591,,5.81,General Surgery[35]
index_specs,49593,,10.0,General Surgery[36]
index_specs,49595,,13.59,General Surgery[37]
index_specs,49623,,3.66,General Surgery[38]
index_specs,44120,,20.3,General Surgery[39]
index_specs,44202,,22.81,General Surgery[40]
index_specs,38100,,19.06,General Surgery[41]
index_specs,38120,,16.64,General Surgery[42]
index_specs,49000,,12.23,General Surgery[43]
index_specs,49320,,5.01,General Surgery[44]
index_specs,44960,,14.14,General Surgery[45]
index_specs,47600,,17.04,General Surgery[46]
index_specs,49002,,17.19,General Surgery[47]
index_specs,43280,,17.65,General Surgery[48]
index_specs,43281,,25.94,General Surgery[49]
index_specs,43282,,29.35,General Surgery[50]
index_specs,49421,,4.1,General Surgery[51]
index_specs,49422,,3.9,General Surgery[52]
index_specs,11426,,3.99,General Surgery[53]
index_specs,21931,,6.71,General Surgery[54]
index_specs,21932,,9.57,General Surgery[55]
index_specs,22902,,4.31,General Surgery[56]
index_specs,22903,,6.23,General Surgery[57]
index_specs,24071,,5.56,General Surgery[58]
index_specs,24073,,9.88,General Surgery[59]
index_specs,27327,,3.86,General Surgery[60]
index_specs,27328,,8.63,General Surgery[61]
index_specs,11404,,2.06,General Surgery[62]
index_specs,44140,,22.03,General Surgery[63]
index_specs,44204,,25.76,General Surgery[64]
index_specs,44139,,2.17,General Surgery[65]
index_specs,44213,,3.41,General Surgery[66]
index_specs,43644,,28.67,General Surgery[67]
index_specs,10021,,1.0,General Surgery[68]
index_specs,10040,,0.89,General Surgery[69]
