source,specialty,code,modifier,description,site_wrvu,cms_work_rvu,cms_status_indicator,cms_year,cms_source_filename,match_status,recommended_action,path_hint
index.html:SPECS,General Surgery,44970,,Lap appendectomy,8.85,9.21,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 9.21 and stamp CMS year/source,General Surgery[10]
index.html:SPECS,General Surgery,47562,,Lap cholecystectomy,10.47,10.21,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 10.21 and stamp CMS year/source,General Surgery[11]
index.html:SPECS,General Surgery,47550,,"+47550 Intraoperative choledochoscopy (add-on, report separately with primary biliary procedure)",6.5,2.94,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 2.94 and stamp CMS year/source,General Surgery[12]
index.html:SPECS,General Surgery,47563,,Lap chole w/ cholangiogram,11.47,11.18,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 11.18 and stamp CMS year/source,General Surgery[13]
index.html:SPECS,General Surgery,49505,,"Inguinal hernia repair, open",7.96,7.76,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 7.76 and stamp CMS year/source,General Surgery[14]
index.html:SPECS,General Surgery,49650,,Lap inguinal hernia repair,8.03,6.20,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 6.20 and stamp CMS year/source,General Surgery[15]
index.html:SPECS,General Surgery,49500,,"Inguinal hernia repair, younger than 5 years, reducible",6.15,5.69,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 5.69 and stamp CMS year/source,General Surgery[16]
index.html:SPECS,General Surgery,49507,,"Initial inguinal hernia, incarcerated/strangulated",8.9,8.86,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 8.86 and stamp CMS year/source,General Surgery[17]
index.html:SPECS,General Surgery,49520,,"Recurrent inguinal hernia, reducible",8.1,9.74,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 9.74 and stamp CMS year/source,General Surgery[18]
index.html:SPECS,General Surgery,49521,,"Recurrent inguinal hernia, incarcerated/strangulated",9.2,11.19,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 11.19 and stamp CMS year/source,General Surgery[19]
index.html:SPECS,General Surgery,49525,,"Inguinal hernia, younger than 5, reducible",6.4,8.71,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 8.71 and stamp CMS year/source,General Surgery[20]
index.html:SPECS,General Surgery,49659,,Unlisted laparoscopic hernia procedure,8,0.00,C,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 0.00 and stamp CMS year/source,General Surgery[25]
index.html:SPECS,General Surgery,49010,,"Peritoneal lavage, including exploratory laparotomy when performed",10.4,15.66,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 15.66 and stamp CMS year/source,General Surgery[27]
index.html:SPECS,General Surgery,49020,,Drainage of peritoneal abscess or localized peritonitis,12.5,26.00,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 26.00 and stamp CMS year/source,General Surgery[28]
index.html:SPECS,General Surgery,49084,,Abdominal paracentesis,1.1,1.95,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 1.95 and stamp CMS year/source,General Surgery[29]
index.html:SPECS,General Surgery,49324,,Laparoscopic peritoneal dialysis catheter placement,7.8,6.16,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 6.16 and stamp CMS year/source,General Surgery[30]
index.html:SPECS,General Surgery,49435,,Removal of tunneled intraperitoneal catheter,4.2,2.19,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 2.19 and stamp CMS year/source,General Surgery[31]
index.html:SPECS,General Surgery,49436,,Revision or repositioning of intraperitoneal catheter,6.1,2.65,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 2.65 and stamp CMS year/source,General Surgery[32]
index.html:SPECS,General Surgery,10061,,"Incision and drainage of abscess, complicated or multiple",1.8,2.39,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 2.39 and stamp CMS year/source,General Surgery[33]
index.html:SPECS,General Surgery,10140,,"Drainage of hematoma, seroma, or fluid collection",1.5,1.54,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 1.54 and stamp CMS year/source,General Surgery[34]
index.html:SPECS,General Surgery,11400,,Excision benign lesion trunk/extremity 0.5 cm or less,3.1,0.88,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 0.88 and stamp CMS year/source,General Surgery[35]
index.html:SPECS,General Surgery,11401,,Excision benign lesion trunk/extremity 0.6-1.0 cm,3.4,1.25,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 1.25 and stamp CMS year/source,General Surgery[36]
index.html:SPECS,General Surgery,11402,,Excision benign lesion trunk/extremity 1.1-2.0 cm,3.8,1.41,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 1.41 and stamp CMS year/source,General Surgery[37]
index.html:SPECS,General Surgery,11403,,Excision benign lesion trunk/extremity 2.1-3.0 cm,4.2,1.79,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 1.79 and stamp CMS year/source,General Surgery[38]
index.html:SPECS,General Surgery,11406,,Excision benign lesion trunk/extremity over 4.0 cm,5.3,3.43,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 3.43 and stamp CMS year/source,General Surgery[39]
index.html:SPECS,General Surgery,11420,,Excision benign lesion scalp/neck/hands/feet/genitalia 0.5 cm or less,3.2,1.00,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 1.00 and stamp CMS year/source,General Surgery[40]
index.html:SPECS,General Surgery,11421,,Excision benign lesion scalp/neck/hands/feet/genitalia 0.6-1.0 cm,3.5,1.43,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 1.43 and stamp CMS year/source,General Surgery[41]
index.html:SPECS,General Surgery,11422,,Excision benign lesion scalp/neck/hands/feet/genitalia 1.1-2.0 cm,3.9,1.64,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 1.64 and stamp CMS year/source,General Surgery[42]
index.html:SPECS,General Surgery,11424,,Excision benign lesion scalp/neck/hands/feet/genitalia 3.1-4.0 cm,4.8,2.42,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 2.42 and stamp CMS year/source,General Surgery[43]
index.html:SPECS,General Surgery,49591,,Anterior abd hernia <3cm,4.55,5.81,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 5.81 and stamp CMS year/source,General Surgery[44]
index.html:SPECS,General Surgery,49593,,Anterior abd hernia 3-10cm,6.25,10.00,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 10.00 and stamp CMS year/source,General Surgery[45]
index.html:SPECS,General Surgery,49595,,Anterior abd hernia >10cm,9.61,13.59,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 13.59 and stamp CMS year/source,General Surgery[46]
index.html:SPECS,General Surgery,49623,,Lap anterior abd hernia 3-10cm,10.95,3.66,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 3.66 and stamp CMS year/source,General Surgery[50]
index.html:SPECS,General Surgery,44120,,Enterectomy + anastomosis,17.24,20.30,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 20.30 and stamp CMS year/source,General Surgery[51]
index.html:SPECS,General Surgery,44202,,Lap enterectomy + anastomosis,18.4,22.81,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 22.81 and stamp CMS year/source,General Surgery[52]
index.html:SPECS,General Surgery,38100,,"Splenectomy, total",18.76,19.06,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 19.06 and stamp CMS year/source,General Surgery[53]
index.html:SPECS,General Surgery,38120,,Lap splenectomy,20,16.64,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 16.64 and stamp CMS year/source,General Surgery[54]
index.html:SPECS,General Surgery,49000,,Exploratory laparotomy,13.42,12.23,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 12.23 and stamp CMS year/source,General Surgery[55]
index.html:SPECS,General Surgery,49320,,Diagnostic laparoscopy,5.25,5.01,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 5.01 and stamp CMS year/source,General Surgery[56]
index.html:SPECS,General Surgery,44960,,"Appendectomy, ruptured",12.87,14.14,A,2026,PPRRVU2026_Apr_nonQPP.csv,mismatch,update WRVU to 14.14 and stamp CMS year/source,General Surgery[57]
