code,source_description,orthopedic_subsection,status,wrvu_status,wrvu_missing_reason,work_rvu,total_rvu,global_period_days,estimated_medicare_payment,cms_source_file
10060,"Incision and drainage of abscess eg, carbuncle, suppurative hidradenitis, and other cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia; simple or single",Hand Surgery,already_present,verified,,1.19,3.85,10,128.59,PPRRVU2026_Jul_nonQPP.csv
10061,"Incision and drainage of abscess eg, carbuncle, suppurative hidradenitis, and other cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia); complicated or multiple",Hand Surgery,already_present,verified,,2.39,6.59,10,220.11,PPRRVU2026_Jul_nonQPP.csv
10120,"Incision and removal of foreign body, subcutaneous tissues; simple",Hand Surgery,already_present,verified,,1.19,4.71,10,157.32,PPRRVU2026_Jul_nonQPP.csv
10121,"Incision and removal of foreign body, subcutaneous tissues; complicated",Hand Surgery,already_present,verified,,2.67,8.24,10,275.22,PPRRVU2026_Jul_nonQPP.csv
10140,"Incision and drainage of hematoma, seroma or fluid collection",Hand Surgery,already_present,verified,,1.54,5.22,10,174.35,PPRRVU2026_Jul_nonQPP.csv
10160,"Puncture aspiration of abscess, hematoma, bulla, or cyst",Hand Surgery,already_present,verified,,1.22,3.94,10,131.6,PPRRVU2026_Jul_nonQPP.csv
10180,"Incision and drainage, complex, postoperative wound infection",Hand Surgery,already_present,verified,,2.24,8.63,10,288.25,PPRRVU2026_Jul_nonQPP.csv
11000,Debridement of extensive eczematous or infected skin; up to 10% of body surface,Hand Surgery,newly_added,verified,,0.59,0.73,0,24.38,PPRRVU2026_Jul_nonQPP.csv
11001,Debridement of extensive eczematous or infected skin; each additional 10% of the body surface,Hand Surgery,newly_added,verified,,0.29,0.38,0,12.69,PPRRVU2026_Jul_nonQPP.csv
11010,Debridement including removal of foreign material associated with open fractures and or dislocations; skin and subcutaneous tissues,Hand Surgery,newly_added,verified,,4.09,7.47,10,249.5,PPRRVU2026_Jul_nonQPP.csv
11011,"Debridement including removal of foreign material associated with open fractures and or dislocations; skin, subcutaneous tissue, muscle fascia, and muscle",Hand Surgery,newly_added,verified,,4.82,7.93,0,264.87,PPRRVU2026_Jul_nonQPP.csv
11012,"Debridement including removal of foreign material associated with open fractures and or dislocations; skin, subcutaneous tissue, muscle fascia, muscle, and bone",Hand Surgery,newly_added,verified,,6.7,10.85,0,362.4,PPRRVU2026_Jul_nonQPP.csv
