code,abos_description,orthopedic_subsection,status,wrvu_status,wrvu_missing_reason,work_rvu,total_rvu,global_period_days,estimated_medicare_payment,cms_source_file
20520,Removal of foreign body in muscle or tendon sheath; simple,General,already_present,verified,,1.85,6.88,10,229.8,PPRRVU2026_Jul_nonQPP.csv
20525,Removal of foreign body in muscle or tendon sheath; deep or complicated,General,already_present,verified,,3.45,14.88,10,497.01,PPRRVU2026_Jul_nonQPP.csv
20920,Fascia lata graft; by stripper,General,already_present,verified,,5.37,10.71,90,357.72,PPRRVU2026_Jul_nonQPP.csv
20922,"Fascia lata graft; by incision and area exposure, complex or sheet",General,already_present,verified,,6.76,19.68,90,657.33,PPRRVU2026_Jul_nonQPP.csv
20924,"Tendon graft, from a distance (eg, palmaris, toe extensor, plantaris)",General,already_present,verified,,6.51,14.07,90,469.95,PPRRVU2026_Jul_nonQPP.csv
23030,"Incision and drainage, shoulder area; deep abscess or hematoma",Shoulder,newly_added,verified,,3.38,7.3,10,243.83,PPRRVU2026_Jul_nonQPP.csv
23031,"Incision and drainage, shoulder area; infected bursa",Shoulder,newly_added,verified,,2.72,6.46,10,215.77,PPRRVU2026_Jul_nonQPP.csv
23035,"Incision, bone cortex (eg, osteomyelitis or bone abscess), shoulder area",Shoulder,newly_added,verified,,8.93,19.0,90,634.62,PPRRVU2026_Jul_nonQPP.csv
23040,"Arthrotomy, glenohumeral joint, including exploration, drainage, or removal of foreign body",Shoulder,newly_added,verified,,9.51,20.15,90,673.03,PPRRVU2026_Jul_nonQPP.csv
23044,"Arthrotomy, acromioclavicular, sternoclavicular joint, including exploration, drainage, or removal of foreign body",Shoulder,newly_added,verified,,7.4,16.26,90,543.1,PPRRVU2026_Jul_nonQPP.csv
23101,"Arthrotomy, acromioclavicular joint or sternoclavicular joint, including biopsy and/or excision of torn cartilage",Shoulder,newly_added,verified,,5.58,13.28,90,443.56,PPRRVU2026_Jul_nonQPP.csv
23105,"Arthrotomy; glenohumeral joint, with synovectomy, with or without biopsy",Shoulder,newly_added,verified,,8.27,18.12,90,605.22,PPRRVU2026_Jul_nonQPP.csv
23106,"Arthrotomy; sternoclavicular joint, with synovectomy, with or without biopsy",Shoulder,newly_added,verified,,5.98,14.61,90,487.99,PPRRVU2026_Jul_nonQPP.csv
23107,"Arthrotomy, glenohumeral joint, with joint exploration, with or without removal of loose or foreign body",Shoulder,newly_added,verified,,8.65,18.75,90,626.27,PPRRVU2026_Jul_nonQPP.csv
23120,Claviculectomy; partial,Shoulder,newly_added,verified,,7.21,16.91,90,564.81,PPRRVU2026_Jul_nonQPP.csv
23125,Claviculectomy; total,Shoulder,newly_added,verified,,9.4,20.03,90,669.02,PPRRVU2026_Jul_nonQPP.csv
23130,"Acromioplasty or acromionectomy, partial, with or without coracoacromial ligament release",Shoulder,newly_added,verified,,7.58,17.69,90,590.86,PPRRVU2026_Jul_nonQPP.csv
23330,"Removal of foreign body, shoulder; subcutaneous",Shoulder,newly_added,verified,,1.85,4.98,10,166.34,PPRRVU2026_Jul_nonQPP.csv
23333,"Removal of foreign body, shoulder; deep",Shoulder,newly_added,verified,,5.85,13.76,90,459.6,PPRRVU2026_Jul_nonQPP.csv
23395,"Muscle transfer, any type, shoulder or upper arm; single",Shoulder,newly_added,verified,,18.08,35.26,90,1177.72,PPRRVU2026_Jul_nonQPP.csv
23397,"Muscle transfer, any type, shoulder or upper arm; multiple",Shoulder,newly_added,verified,,16.34,31.22,90,1042.78,PPRRVU2026_Jul_nonQPP.csv
23405,"Tenotomy, shoulder area; single tendon",Shoulder,newly_added,verified,,8.33,17.2,90,574.5,PPRRVU2026_Jul_nonQPP.csv
23406,"Tenotomy, shoulder area; multiple tendons",Shoulder,newly_added,verified,,10.73,20.18,90,674.03,PPRRVU2026_Jul_nonQPP.csv
23410,"Repair of ruptured musculotendinous cuff (eg, rotator cuff) open; acute",Shoulder,newly_added,verified,,11.11,22.9,90,764.88,PPRRVU2026_Jul_nonQPP.csv
23412,"Repair of ruptured musculotendinous cuff (eg, rotator cuff) open; chronic",Shoulder,already_present,verified,,11.63,23.7,90,791.6,PPRRVU2026_Jul_nonQPP.csv
23415,"Coracoacromial ligament release, with or without acromioplasty",Shoulder,newly_added,verified,,9.0,19.71,90,658.33,PPRRVU2026_Jul_nonQPP.csv
23420,"Reconstruction of complete shoulder (rotator) cuff avulsion, chronic (includes acromioplasty)",Shoulder,newly_added,verified,,13.2,27.14,90,906.5,PPRRVU2026_Jul_nonQPP.csv
23430,Tenodesis of long tendon of biceps,Shoulder,already_present,verified,,9.92,20.85,90,696.41,PPRRVU2026_Jul_nonQPP.csv
23440,Resection or transplantation of long tendon of biceps,Shoulder,newly_added,verified,,10.37,21.0,90,701.42,PPRRVU2026_Jul_nonQPP.csv
23450,"Capsulorrhaphy, anterior; Putti-Platt procedure or Magnuson type operation",Shoulder,newly_added,verified,,13.36,26.1,90,871.76,PPRRVU2026_Jul_nonQPP.csv
23455,"Capsulorrhaphy, anterior; with labral repair (eg, Bankart procedure)",Shoulder,newly_added,verified,,14.3,26.36,90,880.45,PPRRVU2026_Jul_nonQPP.csv
23460,"Capsulorrhaphy, anterior, any type; with bone block",Shoulder,newly_added,verified,,15.42,29.96,90,1000.69,PPRRVU2026_Jul_nonQPP.csv
23462,"Capsulorrhaphy, anterior, any type; with coracoid process transfer",Shoulder,newly_added,verified,,15.33,29.26,90,977.31,PPRRVU2026_Jul_nonQPP.csv
23465,"Capsulorrhaphy, glenohumeral joint, posterior, with or without bone block",Shoulder,newly_added,verified,,15.89,30.68,90,1024.74,PPRRVU2026_Jul_nonQPP.csv
23466,"Capsulorrhaphy, glenohumeral joint, any type multi-directional instability",Shoulder,newly_added,verified,,15.41,30.98,90,1034.76,PPRRVU2026_Jul_nonQPP.csv
23480,"Osteotomy, clavicle, with or without internal fixation",Shoulder,newly_added,verified,,11.25,22.87,90,763.88,PPRRVU2026_Jul_nonQPP.csv
23485,"Osteotomy, clavicle, with or without internal fixation; with bone graft for nonunion or malunion (includes obtaining graft and/or necessary fixation)",Shoulder,newly_added,verified,,13.56,26.09,90,871.43,PPRRVU2026_Jul_nonQPP.csv
23515,"Open treatment of clavicular fracture, with or without internal or external fixation",Shoulder,already_present,verified,,9.45,20.33,90,679.04,PPRRVU2026_Jul_nonQPP.csv
23530,"Open treatment of sternoclavicular dislocation, acute or chronic",Shoulder,already_present,verified,,7.29,16.44,90,549.11,PPRRVU2026_Jul_nonQPP.csv
23532,"Open treatment of sternoclavicular dislocation, acute or chronic; with fascial graft (includes obtaining graft)",Shoulder,already_present,verified,,8,17.88,90,597.21,PPRRVU2026_Jul_nonQPP.csv
23550,"Open treatment of acromioclavicular dislocation, acute or chronic;",Shoulder,already_present,verified,,7.4,16.19,90,540.76,PPRRVU2026_Jul_nonQPP.csv
23552,"Open treatment of acromioclavicular dislocation, acute or chronic; with fascial graft (includes obtaining graft)",Shoulder,already_present,verified,,8.6,18.33,90,612.24,PPRRVU2026_Jul_nonQPP.csv
23615,"Open treatment of proximal humeral (surgical or anatomical neck) fracture, with or without internal or external fixation, with or without repair of tuberosity(s), when performed",Shoulder,already_present,verified,,11.99,24.66,90,823.67,PPRRVU2026_Jul_nonQPP.csv
23630,"Open treatment of greater humeral tuberosity fracture, includes internal fixation, when performed",Shoulder,already_present,verified,,10.31,21.98,90,734.15,PPRRVU2026_Jul_nonQPP.csv
23660,Open treatment of acute shoulder dislocation,Shoulder,newly_added,verified,,7.47,16.5,90,551.11,PPRRVU2026_Jul_nonQPP.csv
23670,"Open treatment of shoulder dislocation, with fracture of greater humeral tuberosity, includes internal fixation, when performed",Shoulder,newly_added,verified,,11.97,24.48,90,817.65,PPRRVU2026_Jul_nonQPP.csv
23680,"Open treatment of shoulder dislocation, with surgical or anatomical neck fracture, includes internal fixation, when performed",Shoulder,newly_added,verified,,12.82,25.9,90,865.08,PPRRVU2026_Jul_nonQPP.csv
24006,"Arthrotomy of the elbow, with capsular excision for capsular release (separate procedure)",Humerus/Upper Arm/Elbow,newly_added,verified,,9.5,19.89,90,664.34,PPRRVU2026_Jul_nonQPP.csv
24101,"Arthrotomy, elbow; with joint exploration, with or without biopsy, with or without removal of loose or foreign body",Humerus/Upper Arm/Elbow,newly_added,verified,,6.14,14.45,90,482.64,PPRRVU2026_Jul_nonQPP.csv
24102,"Arthrotomy, elbow; with synovectomy",Humerus/Upper Arm/Elbow,newly_added,verified,,8.05,17.33,90,578.84,PPRRVU2026_Jul_nonQPP.csv
24105,"Excision, olecranon bursa",Humerus/Upper Arm/Elbow,newly_added,verified,,3.69,10.72,90,358.06,PPRRVU2026_Jul_nonQPP.csv
24200,"Removal of foreign body, upper arm or elbow area; subcutaneous",Humerus/Upper Arm/Elbow,newly_added,verified,,1.76,4.29,10,143.29,PPRRVU2026_Jul_nonQPP.csv
24201,"Removal of foreign body, upper arm or elbow area; deep (subfascial or intramuscular)",Humerus/Upper Arm/Elbow,newly_added,verified,,4.58,11.75,90,392.46,PPRRVU2026_Jul_nonQPP.csv
24301,"Muscle or tendon transfer, any type, upper arm or elbow, single (excluding 24320-24331)",Humerus/Upper Arm/Elbow,newly_added,verified,,10.12,20.98,90,700.75,PPRRVU2026_Jul_nonQPP.csv
24305,"Tendon lengthening, upper arm or elbow, each tendon",Humerus/Upper Arm/Elbow,newly_added,verified,,7.43,16.19,90,540.76,PPRRVU2026_Jul_nonQPP.csv
24310,"Tenotomy, open, elbow to shoulder, each tendon",Humerus/Upper Arm/Elbow,newly_added,verified,,5.97,13.24,90,442.23,PPRRVU2026_Jul_nonQPP.csv
24320,"Tenoplasty, with muscle transfer, with or without free graft, elbow to shoulder, single (Seddon- Brookes type procedure)",Humerus/Upper Arm/Elbow,newly_added,verified,,10.59,21.84,90,729.48,PPRRVU2026_Jul_nonQPP.csv
24332,"Tenolysis, triceps",Humerus/Upper Arm/Elbow,newly_added,verified,,7.71,17.66,90,589.86,PPRRVU2026_Jul_nonQPP.csv
24340,Tenodesis of biceps tendon at elbow (separate procedure),Humerus/Upper Arm/Elbow,newly_added,verified,,7.88,17.47,90,583.51,PPRRVU2026_Jul_nonQPP.csv
24341,"Repair, tendon or muscle, upper arm or elbow, each tendon or muscle, primary or secondary (excludes rotator cuff)",Humerus/Upper Arm/Elbow,newly_added,verified,,9.25,21.2,90,708.1,PPRRVU2026_Jul_nonQPP.csv
24342,"Reinsertion of ruptured biceps or triceps tendon, distal, with or without tendon graft",Humerus/Upper Arm/Elbow,newly_added,verified,,10.59,21.44,90,716.12,PPRRVU2026_Jul_nonQPP.csv
24343,"Repair lateral collateral ligament, elbow, with local tissue",Humerus/Upper Arm/Elbow,newly_added,verified,,8.93,20.26,90,676.7,PPRRVU2026_Jul_nonQPP.csv
24344,"Reconstruction lateral collateral ligament, elbow, with tendon graft (includes harvesting of graft)",Humerus/Upper Arm/Elbow,newly_added,verified,,14.83,30.85,90,1030.42,PPRRVU2026_Jul_nonQPP.csv
24345,"Repair medial collateral ligament, elbow, with local tissue",Humerus/Upper Arm/Elbow,newly_added,verified,,8.93,20.2,90,674.7,PPRRVU2026_Jul_nonQPP.csv
24346,"Reconstruction medial collateral ligament, elbow, with tendon graft (includes harvesting of graft)",Humerus/Upper Arm/Elbow,newly_added,verified,,14.83,30.85,90,1030.42,PPRRVU2026_Jul_nonQPP.csv
24357,"Tenotomy, elbow, lateral or medial (eg, epicondylitis, tennis elbow, golfer's elbow); percutaneous",Humerus/Upper Arm/Elbow,newly_added,verified,,5.3,11.51,90,384.44,PPRRVU2026_Jul_nonQPP.csv
24358,"Tenotomy, elbow, lateral or medial (eg, epicondylitis, tennis elbow, golfer's elbow); debridement, soft tissue and/or bone, open",Humerus/Upper Arm/Elbow,newly_added,verified,,6.49,14.97,90,500.01,PPRRVU2026_Jul_nonQPP.csv
24359,"Tenotomy, elbow, lateral or medial (eg, epicondylitis, tennis elbow, golfer's elbow); debridement, soft tissue and/or bone open with repair or reattachment",Humerus/Upper Arm/Elbow,newly_added,verified,,8.76,18.47,90,616.91,PPRRVU2026_Jul_nonQPP.csv
24515,"Open treatment of humeral shaft fracture with plate/screws, with or without cerclage",Humerus/Upper Arm/Elbow,already_present,verified,,11.82,24.62,90,822.33,PPRRVU2026_Jul_nonQPP.csv
24516,"Treatment of humeral shaft fracture, with insertion of intramedullary implant, with or without cerclage and/or locking screws",Humerus/Upper Arm/Elbow,already_present,verified,,11.89,23.88,90,797.61,PPRRVU2026_Jul_nonQPP.csv
24545,"Open treatment of humeral supracondylar or transcondylar fracture, includes internal fixation, when performed; without intercondylar extension",Humerus/Upper Arm/Elbow,already_present,verified,,12.82,25.76,90,860.41,PPRRVU2026_Jul_nonQPP.csv
24546,"Open treatment of humeral supracondylar or transcondylar fracture, includes internal fixation, when performed; with intercondylar extension",Humerus/Upper Arm/Elbow,already_present,verified,,14.54,28.55,90,953.6,PPRRVU2026_Jul_nonQPP.csv
24575,"Open treatment of humeral epicondylar fracture, medial or lateral, includes internal fixation, when performed",Humerus/Upper Arm/Elbow,already_present,verified,,9.47,20.8,90,694.74,PPRRVU2026_Jul_nonQPP.csv
24579,"Open treatment of humeral condylar fracture, medial or lateral, includes internal fixation, when performed",Humerus/Upper Arm/Elbow,already_present,verified,,11.15,23.36,90,780.25,PPRRVU2026_Jul_nonQPP.csv
24586,Open treatment of periarticular fracture and/or dislocation of the elbow (fracture distal humerus and proximal ulna and/or proximal radius),Humerus/Upper Arm/Elbow,already_present,verified,,15.39,29.62,90,989.33,PPRRVU2026_Jul_nonQPP.csv
24605,Treatment of closed elbow dislocation; requiring anesthesia,Humerus/Upper Arm/Elbow,already_present,verified,,5.5,14.35,90,479.3,PPRRVU2026_Jul_nonQPP.csv
24615,Open treatment of acute or chronic elbow dislocation,Humerus/Upper Arm/Elbow,already_present,verified,,9.58,19.9,90,664.68,PPRRVU2026_Jul_nonQPP.csv
24620,"Closed treatment of Monteggia type of fracture dislocation at elbow (fracture proximal end of ulna with dislocation of radial head), with manipulation",Humerus/Upper Arm/Elbow,already_present,verified,,7.04,17,90,567.82,PPRRVU2026_Jul_nonQPP.csv
24635,"Open treatment of Monteggia type of fracture dislocation at elbow (fracture proximal end of ulna with dislocation of radial head), includes internal fixation, when performed",Humerus/Upper Arm/Elbow,already_present,verified,,8.58,19.16,90,639.96,PPRRVU2026_Jul_nonQPP.csv
24665,"Open treatment of radial head or neck fracture, includes internal fixation or radial head excision, when performed",Humerus/Upper Arm/Elbow,already_present,verified,,8.15,18.63,90,622.26,PPRRVU2026_Jul_nonQPP.csv
24666,"Open treatment of radial head or neck fracture, includes internal fixation or radial head excision, when performed; with radial head prosthetic replacement",Humerus/Upper Arm/Elbow,already_present,verified,,9.61,20.51,90,685.05,PPRRVU2026_Jul_nonQPP.csv
24685,"Open treatment of ulnar fracture, proximal end (eg, olecranon or coronoid process[es]), includes internal fixation, when performed",Humerus/Upper Arm/Elbow,already_present,verified,,8.16,18.63,90,622.26,PPRRVU2026_Jul_nonQPP.csv
25020,"Decompression fasciotomy, forearm and/or wrist, flexor OR extensor compartment; without debridement of nonviable muscle and/or nerve",Forearm/Wrist,already_present,verified,,5.91,21.61,90,721.79,PPRRVU2026_Jul_nonQPP.csv
25023,"Decompression fasciotomy, forearm and/or wrist, flexor OR extensor compartment; with debridement of nonviable muscle and/or nerve",Forearm/Wrist,already_present,verified,,13.48,37.84,90,1263.89,PPRRVU2026_Jul_nonQPP.csv
25024,"Decompression fasciotomy, forearm and/or wrist, flexor AND extensor compartment; without debridement of nonviable muscle and/or nerve",Forearm/Wrist,newly_added,verified,,10.52,21.76,90,726.8,PPRRVU2026_Jul_nonQPP.csv
25025,"Decompression fasciotomy, forearm and/or wrist, flexor AND extensor compartment; with debridement of nonviable muscle and/or nerve",Forearm/Wrist,newly_added,verified,,17.49,33.66,90,1124.27,PPRRVU2026_Jul_nonQPP.csv
25028,"Incision and drainage, forearm and/or wrist; deep abscess or hematoma",Forearm/Wrist,newly_added,verified,,5.26,20.6,90,688.06,PPRRVU2026_Jul_nonQPP.csv
25031,"Incision and drainage, forearm and/or wrist; bursa",Forearm/Wrist,newly_added,verified,,4.15,10.9,90,364.07,PPRRVU2026_Jul_nonQPP.csv
25035,"Incision, deep, bone cortex, forearm and/or wrist (eg, osteomyelitis or bone abscess)",Forearm/Wrist,newly_added,verified,,7.46,16.87,90,563.47,PPRRVU2026_Jul_nonQPP.csv
25040,"Arthrotomy, radiocarpal or midcarpal joint, with exploration, drainage, or removal of foreign body",Forearm/Wrist,newly_added,verified,,7.31,15.71,90,524.73,PPRRVU2026_Jul_nonQPP.csv
