code,description,status,work_rvu,facility_pe_rvu,mp_rvu,global_days,conversion_factor
0001F,Heart failure composite,I,0.00,0.00,0.00,XXX,33.4009
0005F,Osteoarthritis composite,I,0.00,0.00,0.00,XXX,33.4009
00102,Anes px plstc rpr cleft lip,J,0.00,0.00,0.00,XXX,33.4009
00103,Anes rcnstv px eyelid,J,0.00,0.00,0.00,XXX,33.4009
00104,Anes electroconvulsive ther,J,0.00,0.00,0.00,XXX,33.4009
00124,Anes px ear otoscopy,J,0.00,0.00,0.00,XXX,33.4009
00126,Anes px ear tympanotomy,J,0.00,0.00,0.00,XXX,33.4009
0012F,Cap bacterial assess,I,0.00,0.00,0.00,XXX,33.4009
00144,Anes px eye corneal trnspl,J,0.00,0.00,0.00,XXX,33.4009
00145,Anes px eye vitreortnl surg,J,0.00,0.00,0.00,XXX,33.4009
00147,Anes px on eye iridectomy,J,0.00,0.00,0.00,XXX,33.4009
00148,Anes px eye ophthalmoscopy,J,0.00,0.00,0.00,XXX,33.4009
0014F,Comp preop assess cat surg,I,0.00,0.00,0.00,XXX,33.4009
0015F,Melan follow-up complete,I,0.00,0.00,0.00,XXX,33.4009
00162,Anes px nose&sinus rad surg,J,0.00,0.00,0.00,XXX,33.4009
00164,Anes px nose&sins bx sft tis,J,0.00,0.00,0.00,XXX,33.4009
00172,Anes ntroral px rpr clft pal,J,0.00,0.00,0.00,XXX,33.4009
00174,Anes ntrorl exc rtrphrng tum,J,0.00,0.00,0.00,XXX,33.4009
00176,Anes intraoral px rad surg,J,0.00,0.00,0.00,XXX,33.4009
00192,Anes px fcl b1/skl rad surg,J,0.00,0.00,0.00,XXX,33.4009
00210,Anes intracranial px nos,J,0.00,0.00,0.00,XXX,33.4009
00211,Anes icr px crnec/crnot hmtm,J,0.00,0.00,0.00,XXX,33.4009
00212,Anes icr px subdural taps,J,0.00,0.00,0.00,XXX,33.4009
00214,Anes icr px burr holes,J,0.00,0.00,0.00,XXX,33.4009
00215,Anes icr px crnop/elvtn fx,J,0.00,0.00,0.00,XXX,33.4009
00216,Anes icr px vascular px,J,0.00,0.00,0.00,XXX,33.4009
00218,Anes icr px in sitting pos,J,0.00,0.00,0.00,XXX,33.4009
00220,Anes icr px csf shunting px,J,0.00,0.00,0.00,XXX,33.4009
00222,Anes icr px ecoag icr nrv,J,0.00,0.00,0.00,XXX,33.4009
00322,Anes all px nck ndl bx thyr,J,0.00,0.00,0.00,XXX,33.4009
00326,Anes all px larynx&trach<1yr,J,0.00,0.00,0.00,XXX,33.4009
00350,Anes px major vsl neck nos,J,0.00,0.00,0.00,XXX,33.4009
00352,Anes px maj vsl nck smpl lig,J,0.00,0.00,0.00,XXX,33.4009
00402,Anes integ sys rcnstv breast,J,0.00,0.00,0.00,XXX,33.4009
00404,Anes integ sys rad/modf brst,J,0.00,0.00,0.00,XXX,33.4009
00406,Anes integ sys rad brst dsj,J,0.00,0.00,0.00,XXX,33.4009
00410,Anes integ sys conv arrhyt,J,0.00,0.00,0.00,XXX,33.4009
00450,Anes px clav&scapula nos,J,0.00,0.00,0.00,XXX,33.4009
00454,Anes px clav&scapula bx clav,J,0.00,0.00,0.00,XXX,33.4009
00470,Anes partial rib rescj nos,J,0.00,0.00,0.00,XXX,33.4009
00472,Anes prtl rib rescj thoracop,J,0.00,0.00,0.00,XXX,33.4009
00474,Anes prtl rib rescj rad px,J,0.00,0.00,0.00,XXX,33.4009
00522,Anes clsd ch px ndl bx pleur,J,0.00,0.00,0.00,XXX,33.4009
00524,Anes clsd ch px pneumocents,J,0.00,0.00,0.00,XXX,33.4009
00528,Anes clsd ch mediast&thrc wo,J,0.00,0.00,0.00,XXX,33.4009
00529,Anes clsd ch mediast&thrc w/,J,0.00,0.00,0.00,XXX,33.4009
00530,Anes perm transvns pm insj,J,0.00,0.00,0.00,XXX,33.4009
00532,Anes access ctr venous crcj,J,0.00,0.00,0.00,XXX,33.4009
00534,Anes insertion/rplcmt cvdfb,J,0.00,0.00,0.00,XXX,33.4009
00537,Anes cardiac ep procedures,J,0.00,0.00,0.00,XXX,33.4009
00539,Anes tracheobronchial rcnstj,J,0.00,0.00,0.00,XXX,33.4009
00541,Anes thrcm px 1 lung vntj,J,0.00,0.00,0.00,XXX,33.4009
00542,Anes thrcm px decortication,J,0.00,0.00,0.00,XXX,33.4009
00546,Anes thrcm px pulm rescj,J,0.00,0.00,0.00,XXX,33.4009
00548,Anes thrcm px trach&bronchi,J,0.00,0.00,0.00,XXX,33.4009
0054T,Bone srgry cmptr fluor image,C,0.00,0.00,0.00,XXX,33.4009
00550,Anes for sternal debridement,J,0.00,0.00,0.00,XXX,33.4009
0055T,Bone srgry cmptr ct/mri imag,C,0.00,0.00,0.00,XXX,33.4009
00561,Anes px heart w/pump<1 yr,J,0.00,0.00,0.00,XXX,33.4009
00562,Anes px hrt w/pump age 1yr+,J,0.00,0.00,0.00,XXX,33.4009
00563,Anes px heart w/pmp crc arst,J,0.00,0.00,0.00,XXX,33.4009
00566,Anes direct cabg w/o pump,J,0.00,0.00,0.00,XXX,33.4009
00567,Anes direct cabg w/pump,J,0.00,0.00,0.00,XXX,33.4009
00580,Anes heart/lung transplant,J,0.00,0.00,0.00,XXX,33.4009
00604,Anes px crv spn&cord sitting,J,0.00,0.00,0.00,XXX,33.4009
00625,Anes thrc spine wo 1lng vent,J,0.00,0.00,0.00,XXX,33.4009
