code,description,status,work_rvu,facility_pe_rvu,mp_rvu,global_days,conversion_factor
A0021,Outside state ambulance serv,I,0.00,0.00,0.00,XXX,33.4009
A0080,Noninterest escort in non er,I,0.00,0.00,0.00,XXX,33.4009
A0090,Interest escort in non er,I,0.00,0.00,0.00,XXX,33.4009
A0100,Nonemergency transport taxi,I,0.00,0.00,0.00,XXX,33.4009
A0110,Nonemergency transport bus,I,0.00,0.00,0.00,XXX,33.4009
A0120,Noner transport mini-bus,I,0.00,0.00,0.00,XXX,33.4009
A0130,Noner transport wheelch van,I,0.00,0.00,0.00,XXX,33.4009
A0140,Nonemergency transport air,I,0.00,0.00,0.00,XXX,33.4009
A0160,Noner transport case worker,I,0.00,0.00,0.00,XXX,33.4009
A0170,Transport parking fees/tolls,I,0.00,0.00,0.00,XXX,33.4009
A0180,Noner transport lodgng recip,I,0.00,0.00,0.00,XXX,33.4009
A0190,Noner transport meals recip,I,0.00,0.00,0.00,XXX,33.4009
A0200,Noner transport lodgng escrt,I,0.00,0.00,0.00,XXX,33.4009
A0210,Noner transport meals escort,I,0.00,0.00,0.00,XXX,33.4009
A0225,Neonatal emergency transport,I,0.00,0.00,0.00,XXX,33.4009
A0380,Basic life support mileage,I,0.00,0.00,0.00,XXX,33.4009
A0382,Basic support routine suppls,I,0.00,0.00,0.00,XXX,33.4009
A0384,Bls defibrillation supplies,I,0.00,0.00,0.00,XXX,33.4009
A0390,Advanced life support mileag,I,0.00,0.00,0.00,XXX,33.4009
A0392,Als defibrillation supplies,I,0.00,0.00,0.00,XXX,33.4009
A0394,Als iv drug therapy supplies,I,0.00,0.00,0.00,XXX,33.4009
A0396,Als esophageal intub suppls,I,0.00,0.00,0.00,XXX,33.4009
A0398,Als routine disposble suppls,I,0.00,0.00,0.00,XXX,33.4009
A0420,Ambulance waiting 1/2 hr,I,0.00,0.00,0.00,XXX,33.4009
A0422,Ambulance 02 life sustaining,I,0.00,0.00,0.00,XXX,33.4009
A0424,Extra ambulance attendant,I,0.00,0.00,0.00,XXX,33.4009
A0425,Ground mileage,X,0.00,0.00,0.00,XXX,33.4009
A0426,Als 1,X,0.00,0.00,0.00,XXX,33.4009
A0427,Als1-emergency,X,0.00,0.00,0.00,XXX,33.4009
A0428,Bls,X,0.00,0.00,0.00,XXX,33.4009
A0429,Bls-emergency,X,0.00,0.00,0.00,XXX,33.4009
A0430,Fixed wing air transport,X,0.00,0.00,0.00,XXX,33.4009
A0431,Rotary wing air transport,X,0.00,0.00,0.00,XXX,33.4009
A0432,Pi volunteer ambulance co,X,0.00,0.00,0.00,XXX,33.4009
A0433,Als 2,X,0.00,0.00,0.00,XXX,33.4009
A0434,Specialty care transport,X,0.00,0.00,0.00,XXX,33.4009
A0435,Fixed wing air mileage,X,0.00,0.00,0.00,XXX,33.4009
A0436,Rotary wing air mileage,X,0.00,0.00,0.00,XXX,33.4009
A0888,Noncovered ambulance mileage,N,0.00,0.00,0.00,XXX,33.4009
A0998,Ambulance response/treatment,I,0.00,0.00,0.00,XXX,33.4009
A0999,Unlisted ambulance service,X,0.00,0.00,0.00,XXX,33.4009
A2001,"Innovamatrix ac, per sq cm",A,0.00,3.81,0.00,ZZZ,33.4009
A2002,Mirragen adv wnd mat per sq,A,0.00,3.81,0.00,ZZZ,33.4009
A2004,"Xcellistem, 1 mg",C,0.00,0.00,0.00,XXX,33.4009
A2005,"Microlyte matrix, per sq cm",A,0.00,3.81,0.00,ZZZ,33.4009
A2006,Novosorb synpath per sq cm,A,0.00,3.81,0.00,ZZZ,33.4009
A2007,"Restrata, per sq cm",A,0.00,3.81,0.00,ZZZ,33.4009
A2008,"Theragenesis, per sq cm",A,0.00,3.81,0.00,ZZZ,33.4009
A2009,"Symphony, per sq cm",A,0.00,3.81,0.00,ZZZ,33.4009
A2010,"Apis, per square centimeter",A,0.00,3.81,0.00,ZZZ,33.4009
A2011,"Supra sdrm, per sq cm",A,0.00,3.81,0.00,ZZZ,33.4009
A2012,"Suprathel, per sq cm",A,0.00,3.81,0.00,ZZZ,33.4009
A2013,"Innovamatrix fs, per sq cm",A,0.00,3.81,0.00,ZZZ,33.4009
A2014,Omeza collag compl 100 mg,C,0.00,0.00,0.00,XXX,33.4009
A2015,"Phoenix wnd mtrx, per sq cm",A,0.00,3.81,0.00,ZZZ,33.4009
A2016,"Permeaderm b, per sq cm",A,0.00,3.81,0.00,ZZZ,33.4009
A2017,"Permeaderm glove, each",C,0.00,0.00,0.00,XXX,33.4009
A2018,"Permeaderm c, per sq cm",A,0.00,3.81,0.00,ZZZ,33.4009
A2019,Kerecis marigen shld sq cm,A,0.00,3.81,0.00,ZZZ,33.4009
A2020,Ac5 wound system,C,0.00,0.00,0.00,XXX,33.4009
A2021,Neomatrix per sq cm,A,0.00,3.81,0.00,ZZZ,33.4009
A2022,Innovabrn/innovamatx xl sqcm,A,0.00,3.81,0.00,ZZZ,33.4009
A2023,"Innovamatrix pd, 1 mg",C,0.00,0.00,0.00,XXX,33.4009
A2024,Resolve or xenopatch sq cm,A,0.00,3.81,0.00,ZZZ,33.4009
A2025,Miro3d per cubic cm,A,0.00,3.81,0.00,ZZZ,33.4009
A2026,"Restrata minimatrix, 5 mg",C,0.00,0.00,0.00,XXX,33.4009
A2027,Matriderm per sq cm,A,0.00,3.81,0.00,ZZZ,33.4009
A2028,Micromatrix flex per mg,C,0.00,0.00,0.00,XXX,33.4009
A2029,Mirotract matrix sheet,A,0.00,3.81,0.00,ZZZ,33.4009
A2030,"Miro3d fibers, per mg",C,0.00,0.00,0.00,XXX,33.4009
A2031,"Mirodry, per sq cm",A,0.00,3.81,0.00,ZZZ,33.4009
A2032,"Myriad matrix, per sq cm",A,0.00,3.81,0.00,ZZZ,33.4009
A2033,"Myriad morcells, 4 mg",C,0.00,0.00,0.00,XXX,33.4009
A2034,"Found drs solo, per sq cm",A,0.00,3.81,0.00,ZZZ,33.4009
A2035,Corpl p therac p allac p mg,C,0.00,0.00,0.00,XXX,33.4009
A2036,Cohealyx col dml mx pr sq cm,A,0.00,3.81,0.00,ZZZ,33.4009
A2037,"G4derm plus/suprello, pr ml",C,0.00,0.00,0.00,XXX,33.4009
A2038,"Marigen pacto, per sq cm",A,0.00,3.81,0.00,ZZZ,33.4009
A2039,"Innovamatrix fd, per sq cm",A,0.00,3.81,0.00,ZZZ,33.4009
A2040,Microlyte painguard pr sq cm,A,0.00,3.81,0.00,ZZZ,33.4009
A2041,Foundation drs+ duo pr sq cm,A,0.00,3.81,0.00,ZZZ,33.4009
A2042,"Foundation drs+ solo, sq cm",A,0.00,3.81,0.00,ZZZ,33.4009
A2043,"Biobrane, per sq cm",A,0.00,3.81,0.00,ZZZ,33.4009
A2044,"Biobrane glove, each",C,0.00,0.00,0.00,XXX,33.4009
A2045,Novashield/novogen pr sq cm,A,0.00,3.81,0.00,ZZZ,33.4009
A4100,Nosht skin sub fda clrd nos,C,0.00,0.00,0.00,XXX,33.4009
A4206,1 cc sterile syringe&needle,X,0.00,0.00,0.00,XXX,33.4009
A4207,2 cc sterile syringe&needle,X,0.00,0.00,0.00,XXX,33.4009
A4208,3 cc sterile syringe&needle,X,0.00,0.00,0.00,XXX,33.4009
A4209,5+ cc sterile syringe&needle,X,0.00,0.00,0.00,XXX,33.4009
A4210,Nonneedle injection device,N,0.00,0.00,0.00,XXX,33.4009
A4211,Supp for self-adm injections,P,0.00,0.00,0.00,XXX,33.4009
A4212,Non coring needle or stylet,P,0.00,0.00,0.00,XXX,33.4009
A4213,20+ cc syringe only,X,0.00,0.00,0.00,XXX,33.4009
A4215,Sterile needle,X,0.00,0.00,0.00,XXX,33.4009
A4216,"Sterile water/saline, 10 ml",X,0.00,0.00,0.00,XXX,33.4009
A4217,"Sterile water/saline, 500 ml",X,0.00,0.00,0.00,XXX,33.4009
A4218,Sterile saline or water,X,0.00,0.00,0.00,XXX,33.4009
A4220,Infusion pump refill kit,P,0.00,0.00,0.00,XXX,33.4009
A4221,Supp non-insulin inf cath/wk,X,0.00,0.00,0.00,XXX,33.4009
A4222,Infusion supplies with pump,X,0.00,0.00,0.00,XXX,33.4009
A4223,Infusion supplies w/o pump,X,0.00,0.00,0.00,XXX,33.4009
A4224,Supply insulin inf cath/wk,X,0.00,0.00,0.00,XXX,33.4009
A4225,Sup/ext insulin inf pump syr,X,0.00,0.00,0.00,XXX,33.4009
A4226,Weekly supply maint cgs pump,I,0.00,0.00,0.00,XXX,33.4009
A4230,Infus insulin pump non needl,X,0.00,0.00,0.00,XXX,33.4009
A4231,Infusion insulin pump needle,X,0.00,0.00,0.00,XXX,33.4009
A4232,Syringe w/needle insulin 3cc,I,0.00,0.00,0.00,XXX,33.4009
A4233,Alkalin batt for glucose mon,X,0.00,0.00,0.00,XXX,33.4009
A4234,J-cell batt for glucose mon,X,0.00,0.00,0.00,XXX,33.4009
A4235,Lithium batt for glucose mon,X,0.00,0.00,0.00,XXX,33.4009
A4236,Silvr oxide batt glucose mon,X,0.00,0.00,0.00,XXX,33.4009
A4238,Adju cgm supply allowance,X,0.00,0.00,0.00,XXX,33.4009
A4239,Non-adju cgm supply allow,P,0.00,0.00,0.00,XXX,33.4009
A4244,Alcohol or peroxide per pint,X,0.00,0.00,0.00,XXX,33.4009
A4245,Alcohol wipes per box,X,0.00,0.00,0.00,XXX,33.4009
A4246,Betadine/phisohex solution,X,0.00,0.00,0.00,XXX,33.4009
A4247,Betadine/iodine swabs/wipes,X,0.00,0.00,0.00,XXX,33.4009
A4248,Chlorhexidine antisept,X,0.00,0.00,0.00,XXX,33.4009
A4250,Urine reagent strips/tablets,N,0.00,0.00,0.00,XXX,33.4009
A4252,Blood ketone test or strip,N,0.00,0.00,0.00,XXX,33.4009
A4253,Blood glucose/reagent strips,P,0.00,0.00,0.00,XXX,33.4009
A4255,Glucose monitor platforms,X,0.00,0.00,0.00,XXX,33.4009
A4256,Calibrator solution/chips,P,0.00,0.00,0.00,XXX,33.4009
A4257,Replace lensshield cartridge,X,0.00,0.00,0.00,XXX,33.4009
A4258,Lancet device each,P,0.00,0.00,0.00,XXX,33.4009
A4259,Lancets per box,P,0.00,0.00,0.00,XXX,33.4009
A4261,Cervical cap contraceptive,N,0.00,0.00,0.00,XXX,33.4009
A4262,Temporary tear duct plug,B,0.00,0.00,0.00,XXX,33.4009
A4263,Permanent tear duct plug,B,0.00,0.00,0.00,XXX,33.4009
A4264,Intratubal occlusion device,I,0.00,0.00,0.00,XXX,33.4009
A4265,Paraffin,P,0.00,0.00,0.00,XXX,33.4009
A4266,Diaphragm,I,0.00,0.00,0.00,XXX,33.4009
A4267,Male condom,I,0.00,0.00,0.00,XXX,33.4009
A4268,Female condom,I,0.00,0.00,0.00,XXX,33.4009
A4269,Spermicide,I,0.00,0.00,0.00,XXX,33.4009
A4270,Disposable endoscope sheath,B,0.00,0.00,0.00,XXX,33.4009
A4271,Home lancing/test cartridges,X,0.00,0.00,0.00,XXX,33.4009
A4280,Brst prsths adhsv attchmnt,X,0.00,0.00,0.00,XXX,33.4009
A4281,Replacement breastpump tube,X,0.00,0.00,0.00,XXX,33.4009
A4282,Replacement breastpump adpt,X,0.00,0.00,0.00,XXX,33.4009
A4283,Replacement breastpump cap,X,0.00,0.00,0.00,XXX,33.4009
A4284,Replcmnt breast pump shield,X,0.00,0.00,0.00,XXX,33.4009
A4285,Replcmnt breast pump bottle,X,0.00,0.00,0.00,XXX,33.4009
A4286,Replcmnt breastpump lok ring,X,0.00,0.00,0.00,XXX,33.4009
A4287,Disp col sto bag breast milk,X,0.00,0.00,0.00,XXX,33.4009
A4288,Replacement breastpump valve,X,0.00,0.00,0.00,XXX,33.4009
A4290,Sacral nerve stim test lead,X,0.00,0.00,0.00,XXX,33.4009
A4295,Straigh tip hydrophilic cath,X,0.00,0.00,0.00,XXX,33.4009
A4296,Coude tip hydrophilic cath,X,0.00,0.00,0.00,XXX,33.4009
A4297,Hydrophilic coat insert sup,X,0.00,0.00,0.00,XXX,33.4009
A4300,Cath impl vasc access portal,B,0.00,0.00,0.00,XXX,33.4009
A4301,Implantable access syst perc,P,0.00,0.00,0.00,XXX,33.4009
A4305,Drug delivery system >=50 ml,P,0.00,0.00,0.00,XXX,33.4009
A4306,Drug delivery system <=50 ml,P,0.00,0.00,0.00,XXX,33.4009
A4310,Insert tray w/o bag/cath,P,0.00,0.00,0.00,XXX,33.4009
A4311,Catheter w/o bag 2-way latex,P,0.00,0.00,0.00,XXX,33.4009
A4312,Cath w/o bag 2-way silicone,P,0.00,0.00,0.00,XXX,33.4009
A4313,Catheter w/bag 3-way,P,0.00,0.00,0.00,XXX,33.4009
A4314,Cath w/drainage 2-way latex,P,0.00,0.00,0.00,XXX,33.4009
A4315,Cath w/drainage 2-way silcne,P,0.00,0.00,0.00,XXX,33.4009
A4316,Cath w/drainage 3-way,P,0.00,0.00,0.00,XXX,33.4009
A4318,Fem urinary cup w/wo attch,P,0.00,0.00,0.00,XXX,33.4009
A4320,Irrigation tray,P,0.00,0.00,0.00,XXX,33.4009
A4321,Cath therapeutic irrig agent,X,0.00,0.00,0.00,XXX,33.4009
A4322,Irrigation syringe,P,0.00,0.00,0.00,XXX,33.4009
A4326,Male external catheter,P,0.00,0.00,0.00,XXX,33.4009
A4327,Fem urinary collect dev cup,P,0.00,0.00,0.00,XXX,33.4009
A4328,Fem urinary collect pouch,P,0.00,0.00,0.00,XXX,33.4009
A4330,Stool collection pouch,P,0.00,0.00,0.00,XXX,33.4009
A4331,Extension drainage tubing,X,0.00,0.00,0.00,XXX,33.4009
A4332,Lube sterile packet,X,0.00,0.00,0.00,XXX,33.4009
