cpt_code,page_url,canonical_descriptor,current_title,title_mismatch,current_h1,h1_mismatch,current_meta_description,descriptor_mismatch,recommended_correction
37220,codes/37220.html,Iliac artery angioplasty,"CPT 37220: Revascularization, endovascular, open or percutaneous, iliac artery, unilateral, | FreeCPTCodeFinder.com",Yes,"CPT 37220 Revascularization, endovascular, open or percutaneous, iliac artery, unilateral, initial vessel; with transluminal angioplasty",Yes,"CPT code 37220 — Revascularization, endovascular, open or percutaneous, iliac artery, unilateral, initial vessel; with transluminal angio. Work RVU: 7.16, estimated payment: $0.00.. Free coding guide with modifiers, ICD-10, and billing tips.",Yes,Regenerate page metadata from canonical descriptor without truncating the descriptor before validation.
37221,codes/37221.html,Iliac artery stent placement,"CPT 37221: Revascularization, endovascular, open or percutaneous, iliac artery, unilateral, | FreeCPTCodeFinder.com",Yes,"CPT 37221 Revascularization, endovascular, open or percutaneous, iliac artery, unilateral, initial vessel; with transluminal stent placement",Yes,"CPT code 37221 — Revascularization, endovascular, open or percutaneous, iliac artery, unilateral, initial vessel; with transluminal stent. Work RVU: 8.72, estimated payment: $0.00.. Free coding guide with modifiers, ICD-10, and billing tips.",Yes,Regenerate page metadata from canonical descriptor without truncating the descriptor before validation.
37224,codes/37224.html,Femoral/popliteal angioplasty,"CPT 37224: Revascularization, endovascular, open or percutaneous, femoral, popliteal artery | FreeCPTCodeFinder.com",Yes,"CPT 37224 Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with transluminal angioplasty",Yes,"CPT code 37224 — Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with transluminal angio. Work RVU: 7.16, estimated payment: $0.00.. Free coding guide with modifiers, ICD-10, and billing tips.",Yes,Regenerate page metadata from canonical descriptor without truncating the descriptor before validation.
37226,codes/37226.html,Femoral/popliteal stent placement,"CPT 37226: Revascularization, endovascular, open or percutaneous, femoral, popliteal artery | FreeCPTCodeFinder.com",Yes,"CPT 37226 Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with transluminal stent placement",Yes,"CPT code 37226 — Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with transluminal stent. Work RVU: 8.72, estimated payment: $0.00.. Free coding guide with modifiers, ICD-10, and billing tips.",Yes,Regenerate page metadata from canonical descriptor without truncating the descriptor before validation.
47510,codes/47510.html,"Percutaneous biliary drainage, external",CPT 47510: Introduction of percutaneous transhepatic catheter for biliary drainage | FreeCPTCodeFinder.com,Yes,CPT 47510 Introduction of percutaneous transhepatic catheter for biliary drainage,Yes,"CPT code 47510 — Introduction of percutaneous transhepatic catheter for biliary drainage. Work RVU: 5.50, estimated payment: $0.00.. Free coding guide with modifiers, ICD-10, and billing tips.",Yes,Regenerate page metadata from canonical descriptor without truncating the descriptor before validation.
49652,codes/49652.html,"Laparoscopy, surgical; repair initial ventral hernia",CPT 49652: Lap repair initial ventral hernia; <3 cm | FreeCPTCodeFinder.com,Yes,CPT 49652 Lap repair initial ventral hernia;,Yes,"CPT code 49652 — Lap repair initial ventral hernia; <3 cm. Work RVU: 8.86, estimated payment: $0.00.. Free coding guide with modifiers, ICD-10, and billing tips.",Yes,Regenerate page metadata from canonical descriptor without truncating the descriptor before validation.
49653,codes/49653.html,"Laparoscopy, surgical; repair ventral hernia 3-10 cm",CPT 49653: Lap repair initial ventral hernia; 3-10 cm | FreeCPTCodeFinder.com,Yes,CPT 49653 Lap repair initial ventral hernia; 3-10 cm,Yes,"CPT code 49653 — Lap repair initial ventral hernia; 3-10 cm. Work RVU: 18.85, estimated payment: $1264.1.. Free coding guide with modifiers, ICD-10, and billing tips.",Yes,Regenerate page metadata from canonical descriptor without truncating the descriptor before validation.
49654,codes/49654.html,"Laparoscopy, surgical; repair ventral hernia >10 cm",CPT 49654: Lap repair initial ventral hernia; >10 cm | FreeCPTCodeFinder.com,Yes,CPT 49654 Lap repair initial ventral hernia; >10 cm,Yes,"CPT code 49654 — Lap repair initial ventral hernia; >10 cm. Work RVU: 29.43, estimated payment: $0.00.. Free coding guide with modifiers, ICD-10, and billing tips.",Yes,Regenerate page metadata from canonical descriptor without truncating the descriptor before validation.
49656,codes/49656.html,"Laparoscopy, repair recurrent ventral hernia; <3 cm",CPT 49656: Lap repair recurrent ventral hernia; <3 cm | FreeCPTCodeFinder.com,Yes,CPT 49656 Lap repair recurrent ventral hernia;,Yes,"CPT code 49656 — Lap repair recurrent ventral hernia; <3 cm. Work RVU: 12.50, estimated payment: $0.00.. Free coding guide with modifiers, ICD-10, and billing tips.",Yes,Regenerate page metadata from canonical descriptor without truncating the descriptor before validation.
49657,codes/49657.html,"Laparoscopy, repair recurrent ventral hernia; 3-10 cm or larger",CPT 49657: Lap repair recurrent ventral hernia; 3-10 cm | FreeCPTCodeFinder.com,Yes,CPT 49657 Lap repair recurrent ventral hernia; 3-10 cm,Yes,"CPT code 49657 — Lap repair recurrent ventral hernia; 3-10 cm. Work RVU: 16.00, estimated payment: $0.00.. Free coding guide with modifiers, ICD-10, and billing tips.",Yes,Regenerate page metadata from canonical descriptor without truncating the descriptor before validation.
92929,codes/92929.html,PCI with coronary stent; each additional branch (add-on),"CPT 92929: Percutaneous transcatheter placement of intracoronary stent(s), with coronary an | FreeCPTCodeFinder.com",Yes,"CPT 92929 Percutaneous transcatheter placement of intracoronary stent(s), with coronary angioplasty when performed; each additional branch of a major coronary artery (add-on)",Yes,"CPT code 92929 — Percutaneous transcatheter placement of intracoronary stent(s), with coronary angioplasty when performed; each additiona. Work RVU: 4.63, estimated payment: $0.00.. Free coding guide with modifiers, ICD-10, and billing tips.",Yes,Regenerate page metadata from canonical descriptor without truncating the descriptor before validation.
