cpt_code,current_descriptor,current_work_rvu,current_total_rvu,current_payment_estimate,current_source_label,cms_rvu26c_present,cms_alternate_file_present,authoritative_source_identified,likely_source,recommended_disposition,estimated_remediation_effort,site_specialty,first_commit,first_commit_date,first_commit_message
20926,"Tissue grafts other; fat, dermis, fascia",3.45,0,0,abos_hand_source_url: https://ebhmc.com/cptabos/,No,No,specialty dataset candidate: ABOS hand source URL,specialty import,requires specialty review,medium - specialty source validation required,orthopedic_surgery,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113"
22851,Application of intervertebral biomechanical device to vertebral defect,6.78,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,orthopedic_surgery,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113"
26261,Radical resection proximal or middle phalanx with autograft,12.78,0,0,abos_hand_source_url: https://ebhmc.com/cptabos/,No,No,specialty dataset candidate: ABOS hand source URL,specialty import,requires specialty review,medium - specialty source validation required,orthopedic_surgery,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113"
27194,Closed tx pelvic ring fx; with manipulation,6.55,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,orthopedics,e19bfce932d61792fe69f0de0f2b8cd38c929269,2026-04-05,"Phase 2 Data Dominance: CPT 3,069 | ICD-10 2,627"
27445,Arthroplasty knee hinge prosthesis,20.89,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,orthopedic_surgery,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113"
27468,Lengthening of long bone tibia,15.67,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,orthopedic_surgery,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113"
28440,Closed tx tarsal bone fx (excl talus/calcaneus); without manipulation,2.15,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,orthopedics,e19bfce932d61792fe69f0de0f2b8cd38c929269,2026-04-05,"Phase 2 Data Dominance: CPT 3,069 | ICD-10 2,627"
29020,Application of turnbuckle jacket body cast,5.89,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,orthopedic_surgery,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113"
29025,"Application of body cast, shoulder to hips, Minerva type",3.55,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,orthopedics,e19bfce932d61792fe69f0de0f2b8cd38c929269,2026-04-05,"Phase 2 Data Dominance: CPT 3,069 | ICD-10 2,627"
29582,Application of multi-layer compression; thigh and leg,1.05,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,orthopedics,e19bfce932d61792fe69f0de0f2b8cd38c929269,2026-04-05,"Phase 2 Data Dominance: CPT 3,069 | ICD-10 2,627"
29583,Application of multi-layer compression; upper arm and forearm,0.85,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,orthopedics,e19bfce932d61792fe69f0de0f2b8cd38c929269,2026-04-05,"Phase 2 Data Dominance: CPT 3,069 | ICD-10 2,627"
29715,Removal or bivalving of turnbuckle jacket body cast,1.56,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,orthopedic_surgery,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113"
64402,Injection anesthetic agent facial nerve,1.34,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,pain_management,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113"
64410,Injection anesthetic agent phrenic nerve,1.34,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,pain_management,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113"
64412,Injection anesthetic agent spinal accessory nerve,1.34,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,pain_management,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113"
64413,Injection anesthetic agent cervical plexus,1.56,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,pain_management,f472fb5c60852764c01528b4fc0c6dffe87473c4,2026-04-05,"Phase 2: CPT expanded to 2,869 codes — Surgery 2071, Medicine 321, Radiology 247, E/M 113"
65455,Removal of corneal epithelium; with chelation,1.4,0,0.0,none stored,No,No,no approved authoritative source found in local artifacts,specialty import,requires specialty review,medium - specialty source validation required,ophthalmology,f51ab14ee20feaea261eb33c5e1d7abe623de3ed,2026-04-24,Sync ophthalmology codes across site data sources
