cpt_code,page_url,active_record_present,inactive_warning_page,current_title,current_h1,canonical_descriptor,defect_remains_after_3d_a,status,recommended_action
37220,codes/37220.html,Yes,No,"CPT 37220: Revascularization, endovascular, open or percutaneous, iliac artery, unilateral, | FreeCPTCodeFinder.com","CPT 37220 Revascularization, endovascular, open or percutaneous, iliac artery, unilateral, initial vessel; with transluminal angioplasty",Iliac artery angioplasty,Yes,still active metadata defect,Regenerate page metadata from canonical descriptor after source/RVU disposition is decided.
37221,codes/37221.html,Yes,No,"CPT 37221: Revascularization, endovascular, open or percutaneous, iliac artery, unilateral, | FreeCPTCodeFinder.com","CPT 37221 Revascularization, endovascular, open or percutaneous, iliac artery, unilateral, initial vessel; with transluminal stent placement",Iliac artery stent placement,Yes,still active metadata defect,Regenerate page metadata from canonical descriptor after source/RVU disposition is decided.
37224,codes/37224.html,Yes,No,"CPT 37224: Revascularization, endovascular, open or percutaneous, femoral, popliteal artery | FreeCPTCodeFinder.com","CPT 37224 Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with transluminal angioplasty",Femoral/popliteal angioplasty,Yes,still active metadata defect,Regenerate page metadata from canonical descriptor after source/RVU disposition is decided.
37226,codes/37226.html,Yes,No,"CPT 37226: Revascularization, endovascular, open or percutaneous, femoral, popliteal artery | FreeCPTCodeFinder.com","CPT 37226 Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with transluminal stent placement",Femoral/popliteal stent placement,Yes,still active metadata defect,Regenerate page metadata from canonical descriptor after source/RVU disposition is decided.
47510,codes/47510.html,Yes,No,CPT 47510: Introduction of percutaneous transhepatic catheter for biliary drainage | FreeCPTCodeFinder.com,CPT 47510 Introduction of percutaneous transhepatic catheter for biliary drainage,"Percutaneous biliary drainage, external",Yes,still active metadata defect,Regenerate page metadata from canonical descriptor after source/RVU disposition is decided.
49652,codes/49652.html,No,Yes,CPT 49652: inactive/deleted code | FreeCPTCodeFinder.com,CPT 49652 Inactive/deleted CPT code,,No,resolved by Phase 3D-A inactive page cleanup,No metadata remediation needed for active workflow; page retained as inactive warning page.
49653,codes/49653.html,No,Yes,CPT 49653: inactive/deleted code | FreeCPTCodeFinder.com,CPT 49653 Inactive/deleted CPT code,,No,resolved by Phase 3D-A inactive page cleanup,No metadata remediation needed for active workflow; page retained as inactive warning page.
49654,codes/49654.html,No,Yes,CPT 49654: inactive/deleted code | FreeCPTCodeFinder.com,CPT 49654 Inactive/deleted CPT code,,No,resolved by Phase 3D-A inactive page cleanup,No metadata remediation needed for active workflow; page retained as inactive warning page.
49656,codes/49656.html,No,Yes,CPT 49656: inactive/deleted code | FreeCPTCodeFinder.com,CPT 49656 Inactive/deleted CPT code,,No,resolved by Phase 3D-A inactive page cleanup,No metadata remediation needed for active workflow; page retained as inactive warning page.
49657,codes/49657.html,No,Yes,CPT 49657: inactive/deleted code | FreeCPTCodeFinder.com,CPT 49657 Inactive/deleted CPT code,,No,resolved by Phase 3D-A inactive page cleanup,No metadata remediation needed for active workflow; page retained as inactive warning page.
92929,codes/92929.html,Yes,No,"CPT 92929: Percutaneous transcatheter placement of intracoronary stent(s), with coronary an | FreeCPTCodeFinder.com","CPT 92929 Percutaneous transcatheter placement of intracoronary stent(s), with coronary angioplasty when performed; each additional branch of a major coronary artery (add-on)",PCI with coronary stent; each additional branch (add-on),Yes,still active metadata defect,Regenerate page metadata from canonical descriptor after source/RVU disposition is decided.
